ID,title,coords,IDImagenVitrina
24694300,14694-3,"298, 101, 40",6004003
157351600,14735-16,,
157351800,14735-18,,
157351900,14735-19,,
157352300,14735-23,"509, 886, 15- 509, 912, 15",6004002
157352400,14735-24,"611, 645, 15- 611, 671, 15",6004002
157352500,14735-25,"422, 954, 25- 422, 1003, 25",6004002
24735500,14735-5,"445, 539, 25",6004002
24735700,14735-7,"570, 982, 15- 570, 1008, 15",6004002
24735800,14735-8,"642, 542, 15- 642, 568, 15",6004002
24735900,14735-9,"641, 914, 15- 641, 940, 15",6004002
15243200,5243.b,"331, 910, 25",6004002
83103100,73-103.a,"136, 1026, 25",6004001
83103200,73-103.b,,
17310400,73-104,"672, 924, 25",6004001
83104100,73-104,"278, 931, 25",6004002
17310500,73-105,,
17310700,73-107,,
17310800,73-108,,
17311000,73-110,"479, 1076, 30- 526, 1076, 30",6003001
17311100,73-111,,
17311200,73-112,,
17311300,73-113,,
92158300,8215/83,,
92388100,8238/8.1,"690, 332, 25",6004003
833881100,8238/8.1,"369, 330, 25",6004004
18311200,83-11.b,,
93371700,83-37/17,,
20000020,83/42/9.3,"300, 1080, 50",6003002
20000021,83/42/9.3,"70, 1080, 50",6003003
20000022,83/42/9.4,"471, 983, 60- 471, 1076, 60",6003002
20000023,83/42/9.4,"244, 983, 60- 244, 1076, 60",6003003
20000024,83/42/9.5,"281, 977, 50",6003002
20000025,83/42/9.5,"67, 877, 50",6003003
20000020,9145-8,"300, 1080, 50",6003002
20000021,9145-8,"70, 1080, 50",6003003
10118500,a-1-85,"112, 210, 40",6004003
10013200,132,"465, 732, 60",6010004
10013600,136,"648, 1017, 40",6011003
10136100,136,"243, 1017, 40",6011004
10021900,219,"149, 1077, 30",6009001
10022300,223,"603, 947, 30- 589, 985, 30",6008003
10223100,223,"345, 947, 30- 332, 985, 30",6008004
10057900,579,"544, 967, 60",6011003
10579100,579,"138, 975, 60",6011004
10059500,595,"641, 949, 40",6011002
10059600,596,"675, 374, 50",6010003
10596100,596,"306, 367, 50",6010004
10059700,597,"606, 135, 40",6011002
20000008,611,"603, 1114, 40",6009003
10069800,698,"296, 1054, 20",6007003
10085400,854,"58, 797, 20- 95, 797, 20- 126, 797, 20",6007003
10085600,856,"577, 963, 40- 599, 1019, 30- 599, 1073, 30",6009002
10085700,857,,6009003
10857001,857,,6009002
10085800,858,"478, 571, 20",6009002
10086400,864,"626, 486, 20",6009003
10086600,866,"359, 952, 30- 380, 1000, 30",6008003
10866100,866,"102, 954, 30- 123, 1002, 30",6008004
10090300,903,"534, 738, 60",6010003
10903100,903,"164, 728, 60",6010004
10097100,971,"606, 1106, 40- 669, 1106, 50- 719, 1106, 40",6011004
10122800,1228,"517, 178, 50",6011002
10125800,1258,"479, 874, 20",6009003
20000006,1259,"186, 1113, 30",6009003
10126300,1263,"728, 369, 50",6011002
10126500,1265,"522, 362, 50",6011002
10146300,1463,,
10160900,1609,"276, 508, 20",6007003
10167700,1677,"533, 920, 50",6011002
10184300,1843,"191, 748, 40",6011003
10184600,1846,"580, 764, 30- 625, 764, 30",6011002
10184700,1847,"614, 166, 65",6010003
11847100,1847,"252, 158, 65",6010004
10185100,1851,"289, 980, 50",6011003
10185200,1852,"464, 1119, 50- 501, 1119, 50",6011004
10185300,1853,"392, 961, 50",6011003
10196300,1963,,
10197600,1976,"307, 1008, 50",6008001
10198500,1985,"741, 986, 50",6011003
11985100,1985,"338, 986, 50",6011004
10199000,1990,,
20000009,2060,"696, 1112, 40",6009003
20000008,2061,"603, 1114, 40",6009003
10206200,2062,"322, 800, 20",6007001
10212400,2124,"226, 661, 20",6007003
